sample	age	phenotype_age
SP0316	19	22.1777333333333
SP0317	53	39.2248
SP0318	51	33.6442333333333
SP0319	21	23.0506
SP0320	21	23.8038333333333
SP0321	19	26.2373
SP0322	19	23.4983
SP0323	22	23.7433
SP0324	20	29.8573
SP0325	19	29.3214666666667
SP0326	19	23.4251
SP0327	19	25.7594333333333
SP0328	21	23.6547
SP0329	21	22.6392
SP0330	21	30.3943
SP0331	19	24.9452
SP0332	20	33.5214
SP0333	20	23.1412
SP0334	22	23.4803
SP0335	19	23.2961333333333
SP0336	19	23.534
SP0337	20	30.1478666666667
SP0338	21	26.6158333333333
SP0339	22	24.7860666666667
SP0340	21	22.5667
SP0341	21	23.6138333333333
SP0342	22	31.5172666666667
SP0343	19	25.4841666666667
SP0344	21	26.0336
SP0345	20	23.2597333333333
SP0346	19	22.5562
SP0347	21	24.0752
SP0348	19	23.9169666666667
SP0349	20	22.829
SP0350	21	22.9575666666667
SP0351	22	27.4902
SP0352	20	29.4422
SP0353	22	29.6812666666667
SP0354	18	24.8419666666667
SP0355	21	26.3675666666667
SP0356	20	23.4387
SP0357	21	23.3085666666667
SP0358	20	25.4557333333333
SP0359	19	24.7805
SP0360	19	26.6121333333333
SP0361	18	28.4782333333333
SP0362	20	25.7909
SP0363	22	23.5772
SP0364	22	32.5839666666667
SP0365	26	30.2093
SP0366	25	27.0735
SP0367	18	23.4939
SP0368	20	24.1969666666667
SP0369	20	22.3914666666667
SP0370	22	25.8442
SP0371	19	28.2585
SP0372	18	25.7687333333333
SP0373	19	24.1946
SP0374	21	25.9611333333334
SP0375	21	23.3675333333333
SP0376	21	25.9117333333334
SP0377	19	24.2035333333333
SP0378	20	39.8470666666667
SP0379	20	22.3306
SP0380	21	27.4202666666667
SP0381	40	28.5407333333333
SP0382	19	24.412
SP0383	19	22.9903333333333
SP0384	19	26.0232666666667
SP0385	19	22.7441333333333
SP0386	23	26.1790666666667
SP0387	19	25.5973
SP0388	22	25.2739
SP0389	20	24.7042666666667
SP0390	31	25.0445666666667
SP0391	20	27.9562
SP0392	20	25.3062666666667
SP0393	19	21.8644333333333
SP0394	20	27.0005333333334
SP0395	20	22.616
SP0396	20	37.5954666666667
SP0397	19	22.1679333333333
SP0398	19	24.3136
SP0399	21	24.7379
SP0400	19	25.7386666666667
SP0401	19	21.8729666666667
SP0402	20	23.6038
SP0403	19	24.5564333333333
SP0404	20	22.3537333333333
SP0405	20	32.0098
SP0406	20	21.1428
SP0407	21	25.5714
SP0408	19	23.7942
SP0409	22	28.3023
SP0410	22	25.9435666666667
SP0411	22	26.1116
SP0412	56	42.6545666666667
SP0413	33	30.214
SP0414	20	27.8867333333333
SP0415	22	26.7388666666667
SP0416	23	21.9744666666667
SP0417	21	24.3635333333333
SP0418	19	26.8388333333333
SP0419	19	31.9348
SP0420	24	22.7509333333333
SP0421	24	22.6108
SP0422	19	23.9902
SP0423	25	22.6754666666667
SP0424	24	24.3240333333333
SP0425	22	25.1884333333333
SP0426	21	27.1642333333333
SP0427	27	23.0568
SP0428	22	40.5196666666667
SP0429	22	24.7025666666667
SP0430	22	22.0557666666667
SP0431	21	28.1953333333334
SP0432	21	27.7023666666667
SP0433	21	31.8141333333333
SP0434	22	24.0351
SP0435	20	23.1467666666667
SP0436	21	25.8995333333333
SP0437	25	25.1261333333333
SP0438	23	26.8582
SP0439	52	43.5595
SP0440	22	23.128
SP0441	28	24.5526333333333
SP0442	21	23.6270666666666
SP0443	20	30.5883
SP0444	19	23.7824666666667
SP0445	19	22.4313333333333
SP0446	22	24.0631
SP0447	19	22.7377
SP0448	21	23.7290666666667
SP0449	21	22.0762333333333
SP0450	20	26.3815
SP0451	20	26.9119666666667
SP0452	19	26.3522666666667
SP0453	21	25.2455333333333
SP0454	23	24.4595333333333
SP0455	25	52.7510666666667
SP0456	19	26.9969
SP0457	19	24.6487
SP0458	21	24.8797333333333
SP0459	22	23.2513
SP0460	21	21.7649666666667
SP0461	21	31.0057
SP0462	20	24.5000333333333
SP0463	20	22.0225
SP0464	24	23.7243
SP0465	24	25.1286
SP0466	20	25.4166333333333
SP0467	18	23.4494666666667
SP0468	22	26.6294
SP0469	23	22.6040666666667
SP0470	24	27.3088
SP0471	19	24.1976666666667
SP0472	19	24.1322333333333
SP0473	21	26.5343666666667
SP0474	22	29.1087
SP0475	22	29.1059666666667
SP0476	25	27.57
SP0477	19	22.8286666666667
SP0478	20	23.9214666666667
SP0479	19	29.7895333333333
SP0480	20	22.2894
SP0481	19	23.8875666666667
SP0482	19	25.3085666666667
SP0483	28	21.8048333333333
SP0484	21	27.3306333333333
SP0485	24	31.9003666666667
SP0486	24	24.1468666666667
SP0487	19	23.9284333333333
SP0488	18	23.899
