,age,predict_age
589,24,16.581486
590,23,18.018486
591,55,49.940784
592,25,23.191338
593,24,18.967628
594,30,24.005846
595,57,33.36498
596,24,15.604902
597,24,23.923233
598,24,24.041777
599,24,24.043558
600,27,17.693926
601,19,16.22488
602,25,22.350063
603,20,19.891378
604,18,19.632666
605,20,19.840021
606,23,16.910923
607,35,20.082186
608,31,16.10695
609,33,17.755302
610,32,20.619635
611,31,21.568552
612,24,18.961142
613,25,19.285604
614,31,24.641333
615,28,23.714533
616,21,17.146025
617,24,20.20354
618,26,26.478941
619,30,22.357891
620,31,18.533747
621,28,16.75921
622,24,20.119413
623,34,21.883215
624,23,17.240908
625,23,21.22433
626,26,18.281908
627,25,21.914984
628,29,19.505209
629,24,16.574537
630,23,19.350832
631,24,17.448553
632,24,17.168531
633,50,30.471022
634,22,18.760233
635,49,21.18707
636,24,16.983862
637,69,67.47408
638,53,32.629448
639,22,35.05822
640,26,17.655039
641,27,17.414793
642,53,27.165434
643,48,24.342396
644,72,54.382835
645,38,17.742136
646,34,24.121685
647,30,22.9398
648,37,25.86555
649,23,17.779247
650,35,18.246828
651,19,17.29712
652,24,16.292227
653,27,17.035622
654,19,16.250488
655,21,16.587824
656,51,66.61402
657,21,21.036032
658,23,19.194996
659,22,15.6479225
660,19,17.384027
661,21,18.779345
662,20,22.631907
663,21,19.830465
664,22,26.516024
665,19,17.081966
666,20,16.726679
667,21,16.656416
668,20,18.677414
669,19,17.651443
670,19,17.664877
671,20,19.37629
672,20,17.791346
673,20,15.3931265
674,22,15.632441
675,19,18.032652
676,27,17.084742
677,22,17.170273
678,22,15.555702
679,23,17.402464
680,52,35.13183
681,22,19.37995
682,19,16.369123
683,20,20.372576
684,19,21.208906
685,24,16.654875
686,24,18.386778
687,24,18.26311
688,19,18.008827
689,19,18.99357
690,23,22.296978
691,19,32.71507
692,30,20.384943
693,21,21.096813
694,19,17.076094
695,19,19.767557
696,22,18.270906
697,21,20.323477
698,53,37.40407
699,53,31.80725
700,29,30.963823
701,30,23.392664
702,37,20.511957
703,27,24.325863
704,57,62.508114
705,58,48.518177
706,38,18.250845
707,69,48.82173
708,41,25.240965
709,41,24.536543
710,38,25.636316
711,33,21.126995
712,25,19.59661
713,24,19.654367
714,22,18.802664
715,23,15.841629
716,24,16.73653
717,21,22.350733
718,26,20.987066
719,38,27.760485
720,24,20.875864
721,36,26.008139
722,58,33.27258
723,38,20.035608
724,31,18.99454
725,32,23.141745
726,25,24.701893
727,31,21.445322
728,25,19.324661
729,25,19.922407
730,46,45.013195
731,28,18.112211
732,33,22.442621
733,52,34.352467
734,22,31.602106
735,42,31.934473
736,24,21.876314
737,45,24.526161
738,37,26.03795
739,22,19.358006
740,42,20.725622
741,23,15.872353
742,25,21.323997
743,31,22.064474
744,26,21.193897
745,25,18.781155
746,28,25.029192
747,40,21.70857
748,28,22.18503
749,32,24.282545
750,27,20.70967
751,30,28.412432
752,34,19.90034
753,30,18.88651
754,23,16.216331
755,19,27.152246
756,19,15.955757
757,21,17.485922
758,24,19.420803
759,28,20.712893
760,33,21.385033
761,39,15.944093
762,29,27.103266
763,40,37.03715
764,57,45.790386
765,18,19.310068
766,37,20.416452
767,30,18.50984
768,27,23.057144
769,28,19.483667
770,22,21.804771
771,26,19.14136
772,36,21.582273
773,40,24.405413
774,23,19.36607
775,24,18.049875
776,26,20.222721
777,24,15.075648
778,37,44.591267
779,46,33.189648
780,50,32.569637
781,24,24.100092
782,24,18.258581
783,24,16.382536
784,25,19.91395
785,28,21.337324
786,30,19.411533
787,25,21.277601
788,60,56.14078
789,24,23.327991
790,25,23.378
791,30,17.330555
792,28,21.362497
793,21,18.373278
794,21,16.732508
795,28,19.660631
796,22,16.730547
797,23,19.73062
798,24,20.795866
799,23,18.990864
800,18,21.181799
801,19,20.130589
802,24,28.351137
803,23,20.528723
804,19,19.254684
805,23,22.146593
806,29,30.86199
807,28,23.544445
808,30,22.097017
809,38,23.882463
810,39,24.011156
811,27,21.545378
812,31,25.339514
813,27,19.733301
814,24,21.180008
815,24,20.353018
816,23,18.934677
817,27,19.469921
818,29,21.841614
819,29,23.83798
820,23,21.921545
821,32,27.83897
822,22,19.37792
823,28,21.759693
824,24,19.219025
825,23,20.056921
826,24,21.302837
827,23,19.160799
828,23,21.782597
829,23,21.563513
830,30,23.476322
831,37,25.223246
832,25,20.989626
833,30,19.26842
834,23,19.891151
835,22,19.809477
836,22,23.073128
837,25,20.726107
838,23,19.872023
839,23,21.07255
840,27,20.757582
841,23,22.378036
842,26,21.2096
843,29,22.935038
844,41,23.315271
845,58,32.112328
846,25,18.981833
847,24,20.006128
848,37,21.060762
849,72,46.52972
